1a	1a	"DeeDeemensional"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102a
1b	1b	"Dial M for Monkey: Magmanamus"	Paul Rudish & Genndy Tartakovsky	Craig McCracken	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102b
1c	1c	"Maternal Combat"	Rob Renzetti & Genndy Tartakovsky	Rob Renzetti	April 27, 1996 (TNT)[1]April 28, 1996 (TBS/Cartoon Network)[2]	102c
2a	2a	"Dexter Dodgeball"	Craig McCracken & Genndy Tartakovsky	Ricky Nierva	May 4, 1996 (TNT)May 5, 1996 (TBS/Cartoon Network)	103a
2b	2b	"Dial M for Monkey: Rasslor"	Paul Rudish & Genndy Tartakovsky	Paul Rudish	May 4, 1996 (TNT)May 5, 1996 (TBS/Cartoon Network)	103b
2c	2c	"Dexter's Assistant"	Rob Renzetti & Genndy Tartakovsky	Brett Varon & Craig McCracken	May 4, 1996 (TNT)May 5, 1996 (TBS/Cartoon Network)	103c
3a12a	3a12a	"Dexter's Rival"	Genndy Tartakovsky	Genndy Tartakovsky	May 11, 1996 (TNT)May 12, 1996 (TBS/Cartoon Network)December 25, 1996 (rerun)	101a112a
3b	3b	"Dial M for Monkey: Simion"	Paul Rudish & Genndy Tartakovsky	Lou Romano	May 11, 1996 (TNT)May 12, 1996 (TBS/Cartoon Network)	101b
3c	3c	"Old Man Dexter"	Craig McCracken & Genndy Tartakovsky	Craig McCracken	May 11, 1996 (TNT)May 12, 1996 (TBS/Cartoon Network)	101c
4a	4a	"Double Trouble"	Rob Renzetti & Genndy Tartakovsky	Butch Hartman	May 18, 1996 (TNT)May 19, 1996 (TBS/Cartoon Network)	104a
4b	4b	"Dial M for Monkey: Barbequor"	Paul Rudish & Genndy Tartakovsky	Paul Rudish	May 18, 1996 (TNT)May 19, 1996 (TBS/Cartoon Network)	104b
4c	4c	"Changes[6]"	Genndy Tartakovsky	TBA	May 18, 1996 (TNT)May 19, 1996 (TBS/Cartoon Network)	104c
5a	5a	"Jurassic Pooch"	Craig McCracken & Genndy Tartakovsky	Butch Hartman & Conrad Vernon	May 25, 1996 (TNT)May 26, 1996 (TBS/Cartoon Network)	106a
5b	5b	"Dial M for Monkey: Orgon Grindor"	Paul Rudish & Genndy Tartakovsky	Lou Romano & Mike Fontanelli	May 25, 1996 (TNT)May 26, 1996 (TBS/Cartoon Network)	106b
5c	5c	"Dimwit Dexter"	Genndy Tartakovsky	C. Miles Thompson	May 25, 1996 (TNT)May 26, 1996 (TBS/Cartoon Network)	106c
6a	6a	"Dee Dee's Room"	Genndy Tartakovsky	Teddy Newton & Todd Fredericksen	June 1, 1996 (TNT)June 2, 1996 (TBS/Cartoon Network)	105a
6b	6b	"Dial M for Monkey: Huntor"	Paul Rudish & Genndy Tartakovsky	Paul Rudish	June 1, 1996 (TNT)June 2, 1996 (TBS/Cartoon Network)	105b
6c	6c	"The Big Sister"	Genndy Tartakovsky	TBA	June 1, 1996 (TNT)June 2, 1996 (TBS/Cartoon Network)	105c
7a	7a	"Star Spangled Sidekicks"	Genndy Tartakovsky	Genndy Tartakovsky	November 20, 1996	107a
7b	7b	"The Justice Friends: TV Super Pals"	Craig McCracken & Genndy Tartakovsky	Craig McCracken	November 20, 1996	107b
7c	7c	"Game Over"	Craig McCracken & Genndy Tartakovsky	Craig McCracken	November 20, 1996	107c
8a	8a	"Babysitter Blues"	Craig McCracken & Rob Renzetti	Craig McCracken	November 27, 1996	111a
8b	8b	"The Justice Friends: Valhallen's Room"	Genndy Tartakovsky	Paul Rudish & Butch Hartman	November 27, 1996	111b
8c	8c	"Dream Machine"	Rob Renzetti & Genndy Tartakovsky	Don Shank	November 27, 1996	111c
9a	9a	"Dollhouse Drama"	Rob Renzetti	Rob Renzetti	December 4, 1996	108a
9b	9b	"The Justice Friends: Krunk's Date"	Genndy Tartakovsky	Butch Hartman	December 4, 1996	108b
9c	9c	"The Big Cheese"	Genndy Tartakovsky	Charlie Bean	December 4, 1996	108c
10a	10a	"Way of the Dee Dee"	Paul Rudish & Genndy Tartakovsky	Paul Rudish	December 11, 1996	110a
10b	10b	"The Justice Friends: Say Uncle Sam"	Genndy Tartakovsky	Butch Hartman	December 11, 1996	110b
10c	10c	"Tribe Called Girl"	Rob Renzetti & Genndy Tartakovsky	Don Shank	December 11, 1996	110c
11a	11a	"Spacecase"	Rob Renzetti & Genndy Tartakovsky	Ricky Nierva	December 18, 1996	109a
11b	11b	"The Justice Friends: Ratman"	Genndy Tartakovsky	Charlie Bean	December 18, 1996	109b
11c	11c	"Dexter's Debt"	Genndy Tartakovsky	Charlie Bean	December 18, 1996	109c
12b	12b	"The Justice Friends: Bee Where?"	Paul Rudish & Genndy Tartakovsky	Butch Hartman & Craig McCracken	December 25, 1996	112b
12c	12c	"Mandarker"	Genndy Tartakovsky	Lou Romano	December 25, 1996	112c
13a	13a	"Inflata Dee Dee"	Genndy Tartakovsky	Genndy Tartakovsky	January 1, 1997	113a
13b	13b	"The Justice Friends: Can't Nap"	Genndy Tartakovsky	Butch Hartman	January 1, 1997	113b
13c	13c	"Monstory"	Rob Renzetti & Genndy Tartakovsky	Don Shank	January 1, 1997	113c
14a	1a	"Beard to Be Feared"	Genndy Tartakovsky	Jason Butler Rote	Paul Rudish	July 16, 1997[7]	202a (34-5418)
14b	1b	"Quackor the Fowl"	Genndy Tartakovsky	Jason Butler Rote	Genndy Tartakovsky	July 16, 1997[7]	202b (34-5406)
14c	1c	"Ant Pants"	Genndy Tartakovsky	Jason Butler Rote	Butch Hartman	July 16, 1997[7]	202c (34-5401)
15a	2a	"Mom and Jerry"	Robert Alvarez	Jason Butler Rote	Andy Bialk & Paul Rudish	July 23, 1997	201a (34-5417)
15b	2b	"Chubby Cheese"	Rob Renzetti	Jason Butler Rote	David Smith	July 23, 1997	201b (34-5403)
15c	2c	"That Crazy Robot"	Rob Renzetti	Jason Butler Rote	Andy Bialk	July 23, 1997	201c (34-5409)
16a	3a	"D & DD (also known as "Siblings and Sorcery")[8]"	Genndy Tartakovsky	Jason Butler Rote	Paul Rudish	July 30, 1997	203a (34-5405)
16b	3b	"Hamhocks and Armlocks"	Rob Renzetti & Genndy Tartakovsky	Jason Butler Rote	Craig McCracken	July 30, 1997	203b (34-5416)
17a	4a	"Hunger Strikes"	Rob Renzetti	Zeke Kamm	Ace Conrad	August 6, 1997	205a (34-5420)
17b	4b	"The Koos Is Loose"	Robert Alvarez	Zeke Kamm	David Smith	August 6, 1997	205b (34-5413)
17c	4c	"Morning Stretch"	Rob Renzetti	Zeke Kamm	Ace Conrad & Genndy Tartakovsky	August 6, 1997	205c (34-5422)
18a	5a	"Dee Dee Locks and the Ness Monster"	Robert Alvarez & Genndy Tartakovsky	Zeke Kamm	Paul Rudish	August 13, 1997	204a (34-5426)
18b	5b	"Backfire"	Rob Renzetti	Zeke Kamm	Nora Johnson	August 13, 1997	204b (34-5425)
18c	5c	"Book 'Em"	Robert Alvarez	Zeke Kamm	Greg Miller & Genndy Tartakovsky	August 13, 1997	204c (34-5423)
19a	6a	"Sister's Got a Brand New Bag"	Genndy Tartakovsky	TBA	Jeff DeGrandis & Genndy Tartakovsky	August 20, 1997	207a (34-5428)
19b	6b	"Shoo, Shoe Gnomes"	Rob Renzetti	TBA	Mike Stern	August 20, 1997	207b (34-5414)
19c	6c	"Lab of the Lost"	Genndy Tartakovsky	TBA	C. Miles Thompson & Butch Hartman	August 20, 1997	207c (34-5402)
20a	7a	"Labels"	Rob Renzetti	Zeke Kamm	Kevin Kaliher	August 27, 1997	206a (34-5429)
20b	7b	"Game Show"	Robert Alvarez	Zeke Kamm	Butch Hartman	August 27, 1997	206b (34-5412)
20c	7c	"Fantastic Boyage"	Robert Alvarez	Zeke Kamm	Daniel Krall	August 27, 1997	206c (34-5424)
21a	8a	"Filet of Soul"	Genndy Tartakovsky	TBA	Mike Stern	September 3, 1997	211a (34-5408)
21b	8b	"Golden Diskette"	Genndy Tartakovsky	TBA	David Smith	September 3, 1997	211b (34-5412)
22a	9a	"Snowdown"	Robert Alvarez & Genndy Tartakovsky	TBA	Craig McCracken	September 10, 1997	212a (34-5415)
22b	9b	"Figure Not Included"	Rob Renzetti	TBA	Butch Hartman	September 10, 1997	212b (34-5411)
22c	9c	"Mock 5"	Rob Renzetti & Genndy Tartakovsky	TBA	Craig McCracken	September 10, 1997	212c (34-5407)
23a	10a	"Ewww That's Growth"	Rob Renzetti	Zeke Kamm	Mike Stern	September 17, 1997	208a (34-5427)
23b	10b	"Nuclear Confusion"	Robert Alvarez	Zeke Kamm	Butch Hartman	September 17, 1997	208b (34-5421)
23c	10c	"Germ Warfare"	Robert Alvarez & Genndy Tartakovsky	Zeke Kamm	Ace Conrad & Genndy Tartakovsky	September 17, 1997	208c (34-5434)
24a	11a	"A Hard Day's Day"	Rob Renzetti	TBA	Craig McCracken	September 24, 1997	210a (34-5430)
24b	11b	"Road Rash"	Rob Renzetti	TBA	Nora Johnson	September 24, 1997	210b (34-5436
24c	11c	"Ocean Commotion"	Rob Renzetti	TBA	Kevin Kaliher	September 24, 1997	210c (34-5419)
25a	12a	"The Bus Boy"	Rob Renzetti & Genndy Tartakovsky	Zeke Kamm	Don Shank	October 1, 1997	209a (34-5442)
25b	12b	"The Justice Friends: Things That Go Bonk in the Night"	Genndy Tartakovsky	Zeke Kamm	Craig McCracken	October 1, 1997	209b (34-5435)
25c	12c	"Ol' McDexter"	Robert Alvarez & Genndy Tartakovsky	Zeke Kamm	Mike Stern	October 1, 1997	209c (34-5438)
26a	13a	"Sassy Come Home"	Genndy Tartakovsky	Zeke Kamm	David Smith	October 8, 1997	213a (34-5439)
26b	13b	"Photo Finish"	Robert Alvarez & Genndy Tartakovsky	Zeke Kamm	Don Shank	October 8, 1997	213b (34-5433)
27a	14a	"Star Check Unconventional"	Rob Renzetti	Zeke Kamm	Paul Rudish	October 15, 1997	215a (34-5432)
27b	14b	"Dexter Is Dirty"	Genndy Tartakovsky	Zeke Kamm	Greg Emison & Genndy Tartakovsky	October 15, 1997	215b (34-5447)
27c	14c	"Ice Cream Scream"	Robert Alvarez	Zeke Kamm	Kevin Kaliher	October 15, 1997	215c (34-5449)
28a	15a	"Decode of Honor"	Robert Alvarez & Genndy Tartakovsky	Zeke Kamm	Craig McCracken	October 22, 1997	214a (34-5437)
28b	15b	"World's Greatest Mom"	Rob Renzetti	Zeke Kamm	Andy Bialk	October 22, 1997	214b (34-5443)
